sample_id,fold,fusion_model,spearman,jaccard_top5pct,jaccard_top50,entropy_image_only,entropy_fusion,n_tiles
674,1,intermediate_fusion,0.3795369363698787,0.4444444444444444,0.4084507042253521,5.4600444,5.483865,256
680,1,intermediate_fusion,0.8335746166170747,0.4444444444444444,0.5625,5.4772315,5.318605,256
60,1,intermediate_fusion,0.9018561169604027,0.4444444444444444,0.6666666666666666,5.3331356,5.157163,256
67,1,intermediate_fusion,0.8120815690089264,0.625,0.5625,5.2581906,4.7520003,256
675,1,intermediate_fusion,0.8951419089036392,0.4444444444444444,0.7543859649122807,5.3124237,5.1421804,256
76,1,intermediate_fusion,0.8417207885099564,0.7333333333333333,0.7857142857142857,5.2243247,4.9206676,256
676,1,intermediate_fusion,0.9119478141451133,0.7333333333333333,0.6949152542372882,5.2447224,4.8785524,256
681,1,intermediate_fusion,0.6943944552529181,0.4444444444444444,0.5151515151515151,5.208124,5.1410866,256
682,1,intermediate_fusion,0.9175555046921491,0.4444444444444444,0.7241379310344828,5.053031,4.8656397,256
4,1,intermediate_fusion,0.8723005836575873,0.8571428571428571,0.6949152542372882,5.3216505,5.0699434,256
13,1,intermediate_fusion,0.9343621252002745,0.8571428571428571,0.6949152542372882,5.148196,4.878563,256
677,1,intermediate_fusion,0.9013354028381779,0.5294117647058824,0.8518518518518519,5.385125,5.0892467,256
24,1,intermediate_fusion,0.8517524032959487,0.3684210526315789,0.5151515151515151,5.5039544,5.484379,256
19,1,intermediate_fusion,0.7876852540627145,0.5294117647058824,0.6949152542372882,5.22381,5.150346,256
678,1,intermediate_fusion,0.7329444666971846,0.625,0.5873015873015873,5.2110457,5.336733,256
683,1,intermediate_fusion,0.588865444037537,0.8571428571428571,0.3888888888888889,5.1628084,5.267659,256
29,1,intermediate_fusion,0.6369292172121765,0.5294117647058824,0.4925373134328358,5.307335,5.2991233,256
684,1,intermediate_fusion,0.7987404154268709,0.3684210526315789,0.47058823529411764,5.4504976,5.504611,256
679,1,intermediate_fusion,0.666464007782101,0.5294117647058824,0.5873015873015873,5.323406,5.3672485,256
35,1,intermediate_fusion,0.6393568322270541,0.13043478260869565,0.3888888888888889,5.485713,5.5024095,256
52,1,intermediate_fusion,0.521192635614557,0.5294117647058824,0.47058823529411764,5.3675485,5.4386063,256
40,1,intermediate_fusion,0.7068458171206226,0.7333333333333333,0.6129032258064516,4.9000616,4.823059,256
45,1,intermediate_fusion,0.5058566033417257,0.13043478260869565,0.12359550561797752,5.349208,5.4900594,256
121,1,intermediate_fusion,0.5810254062714579,0.7333333333333333,0.3698630136986301,5.3472223,5.4326844,256
122,1,intermediate_fusion,0.7929295891508352,0.4444444444444444,0.6666666666666666,5.226408,5.1181993,256
99,1,intermediate_fusion,0.28938258182650484,0.625,0.28205128205128205,5.416519,5.4412866,256
100,1,intermediate_fusion,0.18400020027466235,0.4444444444444444,0.26582278481012656,5.407495,5.475745,256
123,1,intermediate_fusion,0.2904318780041199,0.3684210526315789,0.21951219512195122,5.2896223,5.352812,256
124,1,intermediate_fusion,0.3773317692835889,0.4444444444444444,0.35135135135135137,5.4326744,5.4564247,256
125,1,intermediate_fusion,0.8023331998168917,0.5294117647058824,0.6129032258064516,5.2930903,5.2779436,256
101,1,intermediate_fusion,0.8611796177615013,0.625,0.7543859649122807,5.1597652,4.8426437,256
126,1,intermediate_fusion,0.674821183337148,0.8571428571428571,0.4925373134328358,5.427864,5.36167,256
107,1,intermediate_fusion,0.8337820439459829,0.625,0.6949152542372882,5.211282,5.2837257,256
138,1,intermediate_fusion,0.796510214007782,0.5294117647058824,0.5873015873015873,5.145666,5.1259604,256
108,1,intermediate_fusion,0.26913409819180584,0.23809523809523808,0.2345679012345679,5.412018,5.470891,256
109,1,intermediate_fusion,0.4742868791485465,0.08333333333333333,0.26582278481012656,5.4404964,5.493646,256
139,1,intermediate_fusion,0.5499105916685739,0.625,0.4925373134328358,5.181787,5.2504454,256
110,1,intermediate_fusion,0.42335274090180813,0.23809523809523808,0.35135135135135137,5.4475102,5.4935846,256
140,1,intermediate_fusion,0.5832420176241702,0.08333333333333333,0.3888888888888889,5.5028133,5.505212,256
111,1,intermediate_fusion,0.807066119249256,0.4444444444444444,0.7241379310344828,5.1471663,5.0850954,256
112,1,intermediate_fusion,0.41748683909361406,0.625,0.3888888888888889,5.222178,5.3249316,256
685,1,intermediate_fusion,0.6853570611123826,0.23809523809523808,0.4925373134328358,5.1746736,5.349058,256
686,1,intermediate_fusion,0.7267309452964064,0.625,0.639344262295082,5.0969553,5.283348,256
148,1,intermediate_fusion,0.3730215724422064,0.3,0.5151515151515151,5.4069214,5.4375496,256
187,1,intermediate_fusion,0.573019426642252,0.7333333333333333,0.4925373134328358,5.047939,5.1812277,256
144,1,intermediate_fusion,0.43312614442664216,0.3,0.28205128205128205,5.369888,5.1771574,256
165,1,intermediate_fusion,0.7075238899061569,0.18181818181818182,0.35135135135135137,5.49469,5.465087,256
159,1,intermediate_fusion,0.024213206683451588,0.5294117647058824,0.21951219512195122,5.404458,5.452421,256
153,1,intermediate_fusion,0.42934524490730136,0.04,0.28205128205128205,5.465354,5.500188,256
705,1,intermediate_fusion,0.8922593842984664,0.625,0.6666666666666666,5.5126467,5.4982176,256
175,1,intermediate_fusion,0.5276550698100251,0.0,0.26582278481012656,5.446264,5.5248575,256
288,1,intermediate_fusion,0.8517617017624168,0.18181818181818182,0.4492753623188406,5.449178,5.4091682,256
525,1,intermediate_fusion,0.6654476138704508,0.5294117647058824,0.3333333333333333,5.431043,5.4459333,256
219,1,intermediate_fusion,0.5777079995422293,0.7333333333333333,0.4084507042253521,5.3809705,5.394048,256
282,1,intermediate_fusion,0.8159583142595559,0.3,0.5625,5.524576,5.5186005,256
