b,mean_pred,obs,n
"(0.268, 0.299]",0.28548638661626075,0.041666666666666664,24
"(0.299, 0.333]",0.31334688434314184,0.043478260869565216,23
"(0.333, 0.404]",0.3646356102694624,0.08695652173913043,23
"(0.404, 0.47]",0.4367423358829636,0.13043478260869565,23
"(0.47, 0.536]",0.5031303596559381,0.30434782608695654,23
"(0.536, 0.608]",0.5837406961417387,0.34782608695652173,23
"(0.608, 0.722]",0.6629320856428719,0.43478260869565216,23
"(0.722, 0.893]",0.8165322645706344,0.5217391304347826,23
