fpr,tpr
0.0,0.0
0.0070921985815602835,0.0
0.0070921985815602835,0.06818181818181818
0.014184397163120567,0.06818181818181818
0.014184397163120567,0.25
0.02127659574468085,0.25
0.02127659574468085,0.36363636363636365
0.028368794326241134,0.36363636363636365
0.028368794326241134,0.45454545454545453
0.0425531914893617,0.45454545454545453
0.0425531914893617,0.4772727272727273
0.05673758865248227,0.4772727272727273
0.05673758865248227,0.5
0.07801418439716312,0.5
0.07801418439716312,0.5454545454545454
0.09929078014184398,0.5454545454545454
0.09929078014184398,0.5909090909090909
0.1347517730496454,0.5909090909090909
0.1347517730496454,0.6136363636363636
0.14893617021276595,0.6136363636363636
0.14893617021276595,0.6363636363636364
0.19858156028368795,0.6363636363636364
0.19858156028368795,0.6590909090909091
0.2198581560283688,0.6590909090909091
0.2198581560283688,0.6818181818181818
0.22695035460992907,0.6818181818181818
0.22695035460992907,0.7272727272727273
0.24822695035460993,0.7272727272727273
0.24822695035460993,0.75
0.3049645390070922,0.75
0.3049645390070922,0.7727272727272727
0.3191489361702128,0.7727272727272727
0.3191489361702128,0.7954545454545454
0.3404255319148936,0.7954545454545454
0.3404255319148936,0.8181818181818182
0.3900709219858156,0.8181818181818182
0.3900709219858156,0.8409090909090909
0.41134751773049644,0.8409090909090909
0.41134751773049644,0.8636363636363636
0.46099290780141844,0.8636363636363636
0.46099290780141844,0.8863636363636364
0.5177304964539007,0.8863636363636364
0.5177304964539007,0.9090909090909091
0.6666666666666666,0.9090909090909091
0.6666666666666666,0.9318181818181818
0.723404255319149,0.9318181818181818
0.723404255319149,0.9545454545454546
0.7872340425531915,0.9545454545454546
0.7872340425531915,0.9772727272727273
0.900709219858156,0.9772727272727273
0.900709219858156,1.0
1.0,1.0
