fpr,tpr
0.0,0.0
0.0070921985815602835,0.0
0.0070921985815602835,0.022727272727272728
0.014184397163120567,0.022727272727272728
0.014184397163120567,0.06818181818181818
0.028368794326241134,0.06818181818181818
0.028368794326241134,0.09090909090909091
0.04964539007092199,0.09090909090909091
0.04964539007092199,0.11363636363636363
0.07801418439716312,0.11363636363636363
0.07801418439716312,0.18181818181818182
0.09929078014184398,0.18181818181818182
0.09929078014184398,0.22727272727272727
0.16312056737588654,0.22727272727272727
0.16312056737588654,0.25
0.19148936170212766,0.25
0.19148936170212766,0.2727272727272727
0.2127659574468085,0.2727272727272727
0.2127659574468085,0.29545454545454547
0.22695035460992907,0.29545454545454547
0.22695035460992907,0.3181818181818182
0.23404255319148937,0.3181818181818182
0.23404255319148937,0.3409090909090909
0.24113475177304963,0.3409090909090909
0.24113475177304963,0.38636363636363635
0.2553191489361702,0.38636363636363635
0.2553191489361702,0.4090909090909091
0.2907801418439716,0.4090909090909091
0.2907801418439716,0.4318181818181818
0.2978723404255319,0.4318181818181818
0.2978723404255319,0.45454545454545453
0.3049645390070922,0.45454545454545453
0.3049645390070922,0.4772727272727273
0.3191489361702128,0.4772727272727273
0.3191489361702128,0.5
0.3404255319148936,0.5
0.3404255319148936,0.5227272727272727
0.3546099290780142,0.5227272727272727
0.3546099290780142,0.5454545454545454
0.36879432624113473,0.5454545454545454
0.36879432624113473,0.5909090909090909
0.3829787234042553,0.5909090909090909
0.3829787234042553,0.6136363636363636
0.41134751773049644,0.6136363636363636
0.41134751773049644,0.6363636363636364
0.4326241134751773,0.6363636363636364
0.4326241134751773,0.6590909090909091
0.4397163120567376,0.6590909090909091
0.4397163120567376,0.6818181818181818
0.5460992907801419,0.6818181818181818
0.5460992907801419,0.7045454545454546
0.5602836879432624,0.7045454545454546
0.5602836879432624,0.7272727272727273
0.624113475177305,0.7272727272727273
0.624113475177305,0.75
0.6595744680851063,0.75
0.6595744680851063,0.7727272727272727
0.6879432624113475,0.7727272727272727
0.6879432624113475,0.7954545454545454
0.6950354609929078,0.7954545454545454
0.6950354609929078,0.8181818181818182
0.7163120567375887,0.8181818181818182
0.7163120567375887,0.8409090909090909
0.8085106382978723,0.8409090909090909
0.8085106382978723,0.8636363636363636
0.8156028368794326,0.8636363636363636
0.8156028368794326,0.9318181818181818
0.8368794326241135,0.9318181818181818
0.851063829787234,0.9318181818181818
0.851063829787234,0.9545454545454546
0.8581560283687943,0.9545454545454546
0.8581560283687943,0.9772727272727273
0.9078014184397163,0.9772727272727273
0.9148936170212766,1.0
0.9787234042553191,1.0
1.0,1.0
